
X: -0.09759521484375, Y: 0.10955810546875), Z: -0.988922119140625, Timestamp: 468017409.8936
X: -0.0976715087890625, Y: 0.116897583007812), Z: -0.989410400390625, Timestamp: 468017409.894574
X: -0.0951690673828125, Y: 0.113494873046875), Z: -0.988433837890625, Timestamp: 468017409.894737
X: -0.09521484375, Y: 0.117401123046875), Z: -0.985488891601562, Timestamp: 468017409.894892
X: -0.0967254638671875, Y: 0.119842529296875), Z: -0.986465454101562, Timestamp: 468017409.895742
X: -0.0962066650390625, Y: 0.118377685546875), Z: -0.988433837890625, Timestamp: 468017409.904116
X: -0.096710205078125, Y: 0.118865966796875), Z: -0.988433837890625, Timestamp: 468017409.895033
X: -0.0945587158203125, Y: 0.103225708007812), Z: -0.986495971679688, Timestamp: 468017409.895151
X: -0.0976409912109375, Y: 0.11346435546875), Z: -0.988922119140625, Timestamp: 468017409.913352
X: -0.0966033935546875, Y: 0.109573364257812), Z: -0.989410400390625, Timestamp: 468017409.922997
X: -0.096099853515625, Y: 0.108596801757812), Z: -0.987457275390625, Timestamp: 468017409.933396
X: -0.0970611572265625, Y: 0.10662841796875), Z: -0.990402221679688, Timestamp: 468017409.943099
X: -0.0921173095703125, Y: 0.106674194335938), Z: -0.98846435546875, Timestamp: 468017409.953252
X: -0.094573974609375, Y: 0.105178833007812), Z: -0.988937377929688, Timestamp: 468017409.963029
X: -0.0950927734375, Y: 0.107620239257812), Z: -0.988937377929688, Timestamp: 468017409.973287
X: -0.0951690673828125, Y: 0.113983154296875), Z: -0.988922119140625, Timestamp: 468017409.9833
X: -0.0937042236328125, Y: 0.114974975585938), Z: -0.987945556640625, Timestamp: 468017409.993169
X: -0.097137451171875, Y: 0.112503051757812), Z: -0.988433837890625, Timestamp: 468017410.003066
X: -0.096649169921875, Y: 0.112991333007812), Z: -0.988433837890625, Timestamp: 468017410.013077
X: -0.0976409912109375, Y: 0.11346435546875), Z: -0.991851806640625, Timestamp: 468017410.02312
X: -0.094635009765625, Y: 0.109588623046875), Z: -0.987472534179688, Timestamp: 468017410.033106
X: -0.0955810546875, Y: 0.106643676757812), Z: -0.987472534179688, Timestamp: 468017410.043409
X: -0.0970458984375, Y: 0.10516357421875), Z: -0.987457275390625, Timestamp: 468017410.053156
X: -0.0946502685546875, Y: 0.111541748046875), Z: -0.990402221679688, Timestamp: 468017410.063278
X: -0.0936737060546875, Y: 0.113021850585938), Z: -0.988937377929688, Timestamp: 468017410.073114
X: -0.0941314697265625, Y: 0.109100341796875), Z: -0.989425659179688, Timestamp: 468017410.083095
X: -0.0946044921875, Y: 0.107620239257812), Z: -0.986984252929688, Timestamp: 468017410.093193
X: -0.0951385498046875, Y: 0.110549926757812), Z: -0.987945556640625, Timestamp: 468017410.103833
X: -0.0955963134765625, Y: 0.108108520507812), Z: -0.986480712890625, Timestamp: 468017410.114448
