
X: 125.503540039062, Y: -24.4293212890625), Z: -1008.97216796875, Timestamp: 468018825.319818
X: 134.46044921875, Y: -29.23583984375), Z: -1014.404296875, Timestamp: 468018825.319988
X: 126.663208007812, Y: -40.5731201171875), Z: -994.796752929688, Timestamp: 468018825.320149
X: 113.34228515625, Y: -44.1131591796875), Z: -971.237182617188, Timestamp: 468018825.320289
X: 112.335205078125, Y: -43.64013671875), Z: -949.203491210938, Timestamp: 468018825.320404
X: 118.865966796875, Y: -54.3670654296875), Z: -910.049438476562, Timestamp: 468018825.325711
X: 135.513305664062, Y: -35.5987548828125), Z: -1008.04138183594, Timestamp: 468018825.318866
X: 117.843627929688, Y: -53.89404296875), Z: -870.376586914062, Timestamp: 468018825.333864
X: 112.594604492188, Y: -29.4952392578125), Z: -837.509155273438, Timestamp: 468018825.344079
X: 98.358154296875, Y: 2.6397705078125), Z: -802.154541015625, Timestamp: 468018825.353523
X: 99.6551513671875, Y: 14.8468017578125), Z: -736.007690429688, Timestamp: 468018825.363536
X: 72.1588134765625, Y: 40.0390625), Z: -729.034423828125, Timestamp: 468018825.373767
X: 77.2705078125, Y: 70.9228515625), Z: -760.360717773438, Timestamp: 468018825.383506
X: 122.787475585938, Y: 29.2816162109375), Z: -827.178955078125, Timestamp: 468018825.393877
X: 191.543579101562, Y: -11.16943359375), Z: -889.678955078125, Timestamp: 468018825.403806
X: 222.183227539062, Y: -8.4381103515625), Z: -917.221069335938, Timestamp: 468018825.413549
X: 187.637329101562, Y: 28.4271240234375), Z: -916.061401367188, Timestamp: 468018825.423584
X: 135.971069335938, Y: 47.515869140625), Z: -898.712158203125, Timestamp: 468018825.433605
X: 61.0809326171875, Y: 26.336669921875), Z: -959.213256835938, Timestamp: 468018825.44419
X: 47.515869140625, Y: 5.6915283203125), Z: -1022.38464355469, Timestamp: 468018825.453971
X: 75.86669921875, Y: -4.2877197265625), Z: -1096.45080566406, Timestamp: 468018825.463565
X: 113.46435546875, Y: -45.0286865234375), Z: -1170.59326171875, Timestamp: 468018825.473836
X: 172.7294921875, Y: -79.7119140625), Z: -1201.21765136719, Timestamp: 468018825.483594
X: 218.582153320312, Y: -111.099243164062), Z: -1189.16320800781, Timestamp: 468018825.494027
X: 233.21533203125, Y: -136.90185546875), Z: -1172.10388183594, Timestamp: 468018825.503629
X: 213.836669921875, Y: -129.257202148438), Z: -1165.66467285156, Timestamp: 468018825.513682
X: 207.427978515625, Y: -89.691162109375), Z: -1140.12145996094, Timestamp: 468018825.523658
X: 210.723876953125, Y: -75.4852294921875), Z: -1134.73510742188, Timestamp: 468018825.533658
X: 220.03173828125, Y: -68.5577392578125), Z: -1116.62292480469, Timestamp: 468018825.544368
X: 231.857299804688, Y: -66.986083984375), Z: -1086.7919921875, Timestamp: 468018825.553685
X: 241.2109375, Y: -64.9566650390625), Z: -1056.94580078125, Timestamp: 468018825.563655
X: 251.876831054688, Y: -45.7916259765625), Z: -1058.91418457031, Timestamp: 468018825.573638
X: 288.314819335938, Y: -31.768798828125), Z: -1059.03625488281, Timestamp: 468018825.583705
X: 322.235107421875, Y: -16.7999267578125), Z: -1029.73937988281, Timestamp: 468018825.593678
X: 332.962036132812, Y: -4.486083984375), Z: -990.585327148438, Timestamp: 468018825.603737
X: 330.276489257812, Y: 11.1083984375), Z: -938.140869140625, Timestamp: 468018825.619883
X: 325.576782226562, Y: 29.6478271484375), Z: -896.957397460938, Timestamp: 468018825.623989
X: 324.40185546875, Y: 44.7845458984375), Z: -869.0185546875, Timestamp: 468018825.633745
X: 331.1767578125, Y: 56.09130859375), Z: -849.441528320312, Timestamp: 468018825.643806
X: 333.160400390625, Y: 54.6417236328125), Z: -831.329345703125, Timestamp: 468018825.65382
X: 343.154907226562, Y: 47.882080078125), Z: -850.9521484375, Timestamp: 468018825.663831
X: 386.032104492188, Y: 18.4326171875), Z: -886.90185546875, Timestamp: 468018825.673844
X: 433.258056640625, Y: -0.18310546875), Z: -926.773071289062, Timestamp: 468018825.684134
X: 460.494995117188, Y: -2.8839111328125), Z: -933.7158203125, Timestamp: 468018825.693829
X: 473.648071289062, Y: 13.85498046875), Z: -920.028686523438, Timestamp: 468018825.703957
X: 463.775634765625, Y: 10.8184814453125), Z: -891.098022460938, Timestamp: 468018825.713906
X: 431.625366210938, Y: 11.016845703125), Z: -892.9443359375, Timestamp: 468018825.724421
X: 425.277709960938, Y: 4.608154296875), Z: -904.205322265625, Timestamp: 468018825.733842
X: 441.71142578125, Y: -4.5166015625), Z: -917.495727539062, Timestamp: 468018825.744192
X: 458.953857421875, Y: -40.069580078125), Z: -945.510864257812, Timestamp: 468018825.754129
X: 479.568481445312, Y: -68.7408447265625), Z: -963.7451171875, Timestamp: 468018825.763819
X: 488.723754882812, Y: -91.156005859375), Z: -967.727661132812, Timestamp: 468018825.774821
X: 481.246948242188, Y: -85.357666015625), Z: -960.342407226562, Timestamp: 468018825.804475
